player;card_1;card_2;card_3;card_4;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;Hypnotic Sprite // Mesmeric Glare;Spell Queller;Assassin's Trophy;Chromatic Orrery;00;00;00;06;06;06;02;00;01;00;00;04;06;40
NumiChan;Force of Will;Wipe Away;Misthollow Griffin;Chromatic Orrery;06;00;02;06;06;06;06;01;03;06;03;06;06;40
IMP;Force of Will;Force of Vigor;Progenitus;Kiora Bests the Sea God;06;02;00;06;03;06;00;06;00;00;02;00;01;40
Kratos Aurion;Hammerheim;Ricochet Trap;Mishra's Factory;Dismiss into Dream;00;00;00;00;06;00;00;02;00;00;00;02;02;40
GoDJi8;Filigree Sages;Pact of Negation;Emrakul, the Aeons Torn;Chromatic Orrery;00;00;03;00;00;06;00;06;00;00;00;00;00;40
BlackHole;Bazaar of Baghdad;Subterranean Hangar;Emrakul, the Aeons Torn;Baneful Omen;00;00;00;06;00;00;00;06;00;00;00;00;00;40
Michael W;Aura Mutation;Artifact Mutation;Counterflux;Chromatic Orrery;02;00;06;06;06;06;00;06;01;00;01;06;02;40
lollonator;Force of Will;Commandeer;Snapback;Summoning Station;06;04;00;02;00;00;00;00;01;00;00;02;02;40
The Beast;Brazen Borrower // Petty Theft;Krosan Grip;Selesnya Charm;Chromatic Orrery;04;03;06;06;06;06;04;04;00;04;03;04;06;40
hug77;Brazen Borrower // Petty Theft;Dualcaster Mage;Pact of Negation;Chromatic Orrery;06;00;06;06;06;06;06;06;01;00;01;06;06;40
Bongoking;Krosan Grip;Surrak Dragonclaw;Funeral Charm;Chromatic Orrery;06;03;02;06;06;06;04;06;03;04;00;04;06;40
Master_of_Desaster;Leyline of Anticipation;Acidic Slime;Pact of Negation;Chromatic Orrery;01;00;06;02;06;06;00;02;01;00;01;00;06;40
The green one;Pact of Negation;Pact of Negation;Acidic Slime;Chromatic Orrery;00;00;04;02;06;06;02;02;00;00;00;00;00;40
